Giovanna Paola LOPEZ CARRILLO,SHECUW0802198801,ECU,9.7,9.7,9.8,9.9,10.7,9.7,9.7,9.8,9.9,10.7,10.1,10.3,10.4,10.2,9.8,10.1,10.3,10.4,10.2,9.8,10.1,10.2,10.0,8.5,9.6,10.1,10.2,10.0,8.5,9.6,10.6,10.6,8.7,10.2,10.4,10.6,10.6,8.7,10.2,10.4
Judith GOMEZ,SHFRAW2008199801,FRA,10.4,10.5,9.8,10.7,10.7,10.4,10.5,9.8,10.7,10.7,9.7,10.1,10.1,10.8,10.5,9.7,10.1,10.1,10.8,10.5,10.2,10.4,10.1,10.4,10.2,10.2,10.4,10.1,10.4,10.2,10.5,9.9,10.6,10.2,10.3,10.5,9.9,10.6,10.2,10.3
Bronwyn Clara SHIELDS,SHNZLW3101196701,NZL,9.2,10.5,9.4,10.5,10.5,9.2,10.5,9.4,10.5,10.5,9.5,10.7,10.6,9.7,10.6,9.5,10.7,10.6,9.7,10.6,9.1,9.4,10.0,9.9,9.5,9.1,9.4,10.0,9.9,9.5,10.2,10.6,9.1,9.7,10.6,10.2,10.6,9.1,9.7,10.6
Siling YI,SHCHNW0605198901,CHN,10.8,10.5,10.7,10.4,10.6,10.8,10.5,10.7,10.4,10.6,10.3,10.4,10.7,10.5,10.5,10.3,10.4,10.7,10.5,10.5,10.4,10.7,10.2,10.6,10.7,10.4,10.7,10.2,10.6,10.7,10.2,10.1,10.3,10.9,10.6,10.2,10.1,10.3,10.9,10.6
Sarah BEARD,SHUSAW2105199101,USA,10.4,10.4,10.7,10.4,10.4,10.4,10.4,10.7,10.4,10.4,10.4,10.5,10.4,10.8,10.7,10.4,10.5,10.4,10.8,10.7,9.9,10.3,10.7,10.4,10.7,9.9,10.3,10.7,10.4,10.7,10.6,10.6,10.6,10.2,9.5,10.6,10.6,10.6,10.2,9.5
Shimaa HASHAD,SHEGYW2104198101,EGY,10.7,10.2,10.5,10.0,10.6,10.7,10.2,10.5,10.0,10.6,10.6,10.2,9.9,10.1,9.7,10.6,10.2,9.9,10.1,9.7,10.5,10.3,10.8,9.6,9.8,10.5,10.3,10.8,9.6,9.8,10.4,10.3,10.4,10.8,10.1,10.4,10.3,10.4,10.8,10.1
Marie FAYOLLE,SHFRAW3103199001,FRA,10.8,9.9,10.3,9.8,10.3,10.8,9.9,10.3,9.8,10.3,10.7,10.6,10.6,10.7,10.7,10.7,10.6,10.6,10.7,10.7,10.6,10.2,10.5,10.4,10.3,10.6,10.2,10.5,10.4,10.3,10.3,10.7,10.5,9.8,10.4,10.3,10.7,10.5,9.8,10.4
Daniela DEMJEN PESKOVA,SHSVKW2304198401,SVK,9.7,10.0,10.2,10.6,10.3,9.7,10.0,10.2,10.6,10.3,10.4,9.9,10.1,10.2,10.6,10.4,9.9,10.1,10.2,10.6,10.3,10.3,10.2,10.5,10.5,10.3,10.3,10.2,10.5,10.5,10.3,10.0,10.2,10.8,10.0,10.3,10.0,10.2,10.8,10.0
Carole CALMES,SHLUXW1009197801,LUX,10.1,10.5,10.2,10.6,10.2,10.1,10.5,10.2,10.6,10.2,10.2,10.6,10.6,9.4,10.3,10.2,10.6,10.6,9.4,10.3,10.0,10.4,10.5,9.8,10.9,10.0,10.4,10.5,9.8,10.9,10.4,10.6,10.5,10.3,10.8,10.4,10.6,10.5,10.3,10.8
Snjezana PEJCIC,SHCROW1307198201,CRO,10.5,9.7,10.4,10.4,10.1,10.5,9.7,10.4,10.4,10.1,10.6,10.3,10.5,10.1,10.8,10.6,10.3,10.5,10.1,10.8,10.2,10.8,10.7,10.6,10.6,10.2,10.8,10.7,10.6,10.6,10.4,10.0,10.7,10.6,10.5,10.4,10.0,10.7,10.6,10.5
